gid,p_continues,taint_kzt,in_deg,in_kzt,evidence
100000003037476100,0.658823529412,259.414654489,3,555000,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 66% of cases - extend the export from this account.
100000004652395100,0.863636363636,162.959624451,3,101528,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 86% of cases - extend the export from this account.
100000006638021100,0.504854368932,117.488860217,2,388500,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 50% of cases - extend the export from this account.
100000005783452100,0.504854368932,58.1011573664,2,286500,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 50% of cases - extend the export from this account.
100000003230328100,0.714285714286,52.6198820238,3,26572,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 71% of cases - extend the export from this account.
100000007357489100,0.613333333333,49.7046391922,2,164500,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 61% of cases - extend the export from this account.
100000007034089100,0.504854368932,33.2493712721,2,198000,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 50% of cases - extend the export from this account.
100000001202787100,0.7,31.1332396529,2,14850,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 70% of cases - extend the export from this account.
100000003072205100,0.613333333333,15.0366077519,2,163000,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 61% of cases - extend the export from this account.
100000008583971100,0.625,12.0286289703,2,51000,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 62% of cases - extend the export from this account.
