gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,coordinator,0.507786921708,0,0.796166803776,"Signs of coordination: receives from 2 consolidator candidates (...3100, ...9100), 110K KZT in."
100000000018102100,peripheral,0.9,0,0.206827280918,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000031787100,transit,1,6,0.661168566616,Pass-through hypothesis: forwards 100% of 90K KZT received; 44% forwarded within 2 days.
100000000041368100,peripheral,0.9,2,0.598617150468,Single inflow of 160K KZT; 0 further outgoing transfers observed.
100000000076451100,peripheral,0.6,15,0.593446155052,"Limited role evidence: 3 payers, 4 recipients, 88K KZT received in observed graph."
100000000089154100,distributor,0.75,0,0.612108747601,Fan-out hypothesis: sends 426K KZT to 15 recipients after receiving from 1 payers.
100000000190228100,peripheral,0.6,8,0.530600932346,"Limited role evidence: 1 payers, 1 recipients, 5K KZT received in observed graph."
100000000201868100,transit,1,53,0.741054569671,Pass-through hypothesis: forwards 100% of 190K KZT received; 100% forwarded within 2 days.
100000000254336100,coordinator,0.508100533808,0,0.497747483057,"Signs of coordination: receives from 2 consolidator candidates (...6100, ...5100), 97K KZT in."
100000000267734100,peripheral,0.6,6,0.611662161633,"Limited role evidence: 2 payers, 7 recipients, 180K KZT received in observed graph."
100000000274067100,peripheral,0.6,6,0.600438751126,"Limited role evidence: 2 payers, 3 recipients, 518K KZT received in observed graph."
100000000287768100,peripheral,0.9,0,0.261679790026,Single inflow of 35K KZT; 0 further outgoing transfers observed.
100000000288317100,peripheral,0.6,0,0.434526187958,"Limited role evidence: 2 payers, 3 recipients, 100K KZT received in observed graph."
100000000291906100,transit,0.562796391753,47,0.662255650879,Pass-through hypothesis: forwards 117% of 388K KZT received; 42% forwarded within 2 days.
100000000291908100,peripheral,0.6,47,0.470399968661,"Limited role evidence: 1 payers, 1 recipients, 296K KZT received in observed graph."
100000000297649100,peripheral,0.6,10,0.479919301132,"Limited role evidence: 1 payers, 1 recipients, 40K KZT received in observed graph."
100000000299820100,peripheral,0.9,3,0.192800955851,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000307908100,peripheral,0.9,40,0.429619618443,Single inflow of 5K KZT; 0 further outgoing transfers observed.
100000000331309100,coordinator,0.659977758007,5,0.906980843812,"Signs of coordination: receives from 5 source clusters via 5 payers, 985K KZT in."
100000000332284100,coordinator,0.609346085409,5,0.855310063854,"Signs of coordination: receives from 4 source clusters via 10 payers, 107K KZT in."
100000000343175100,consolidator,0.8,11,0.546388529792,"Signs of consolidation: seed receives from 8 payers, 179K KZT observed in and 4.0M KZT observed out. Known seed acting as a hub — case may reach above street level."
100000000369781100,peripheral,0.9,5,0.168326869589,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000375150100,peripheral,0.9,12,0.308343322756,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 37% of cases - extend the export from this account.
100000000404740100,peripheral,0.9,24,0.239404552043,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 23% of cases - extend the export from this account.
100000000408846100,peripheral,0.9,25,0.18611274337,Single inflow of 40K KZT; 0 further outgoing transfers observed.
100000000413678100,peripheral,0.6,3,0.329578485525,"Limited role evidence: 2 payers, 3 recipients, 306K KZT received in observed graph."
100000000424935100,peripheral,0.9,27,0.153848082423,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000425407100,peripheral,0.9,2,0.422744544992,Single inflow of 20K KZT; 0 further outgoing transfers observed.
100000000437046100,coordinator,0.509919928826,0,0.913718807537,"Signs of coordination: receives from 2 source clusters via 9 payers, 1.1M KZT in."
100000000440392100,peripheral,0.9,4,0.531511732675,Single inflow of 106K KZT; 0 further outgoing transfers observed.
100000000456947100,peripheral,0.9,69,0.0719156187566,Known seed with 0 observed transfers in this graph.
100000000470237100,peripheral,0.9,27,0.270583303953,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 23% of cases - extend the export from this account.
100000000481716100,peripheral,0.9,7,0.344533239315,Single inflow of 8K KZT; 0 further outgoing transfers observed.
100000000489417100,coordinator,0.507895907473,12,0.774043169977,"Signs of coordination: receives from 2 source clusters via 3 payers, 74K KZT in."
100000000490383100,peripheral,0.6,4,0.598382105222,"Limited role evidence: 3 payers, 8 recipients, 63K KZT received in observed graph."
100000000500040100,peripheral,0.9,0,0.132417832099,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000507799100,peripheral,0.6,36,0.485531006385,"Limited role evidence: 1 payers, 1 recipients, 5K KZT received in observed graph."
100000000533217100,peripheral,0.9,0,0.548846319583,Single inflow of 54K KZT; 0 further outgoing transfers observed.
100000000534581100,coordinator,0.508100533808,3,0.537646413601,"Signs of coordination: receives from 2 consolidator candidates (...7100, ...9100), 56K KZT in."
100000000542087100,peripheral,0.9,34,0.0891460022721,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000552584100,terminal,1,22,0.562408430289,Possible holding point: receives 2.5M KZT from 1 payers; observed onward flow is 2%.
100000000555721100,coordinator,0.503669928826,0,0.704293493164,"Signs of coordination: receives from 2 consolidator candidates (...3100, ...0100), 113K KZT in."
100000000557536100,peripheral,0.9,34,0.13089591413,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 29% of cases - extend the export from this account.
100000000560751100,peripheral,0.9,12,0.352524777686,Single inflow of 25K KZT; 0 further outgoing transfers observed.
100000000561160100,peripheral,0.9,2,0.262973714107,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 37% of cases - extend the export from this account.
100000000569479100,terminal,0.533333333333,0,0.470035648529,Money stops here in the observed graph: receives 320K KZT from 1 payers; no outgoing transfers were traced.
100000000572276100,peripheral,0.6,1,0.199040231911,"Limited role evidence: 1 payers, 1 recipients, 13K KZT received in observed graph."
100000000580561100,peripheral,0.6,41,0.342423316488,"Limited role evidence: 2 payers, 3 recipients, 28K KZT received in observed graph."
100000000581662100,peripheral,0.9,13,0.13262349669,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000581682100,peripheral,0.9,27,0.119748893329,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 30% of cases - extend the export from this account.
100000000583220100,peripheral,0.6,65,0.27410780742,"Limited role evidence: 1 payers, 1 recipients, 5K KZT received in observed graph."
100000000594783100,terminal,1,22,0.608359775924,Possible holding point: receives 2.6M KZT from 1 payers; observed onward flow is 6%.
100000000596954100,peripheral,0.6,2,0.615540408195,"Limited role evidence: 1 payers, 2 recipients, 120K KZT received in observed graph."
100000000600707100,peripheral,0.9,35,0.279920476358,Outgoing not observed (cut-off at hop 4); similar visible nodes forward money in 29% of cases - extend the export from this account.
100000000607731100,peripheral,0.6,28,0.518290437576,"Limited role evidence: 1 payers, 1 recipients, 20K KZT received in observed graph."
