rank,gid,role,priority_score,why
1,100000003115284100,consolidator,1,"Signs of consolidation: receives from 8 payers (4 seeds within 2 hops), 2.2M KZT in, forwards 24%. Priority drivers: high case-money inflow (850K KZT), 4 seeds within 2 hops."
2,100000004156082100,coordinator,0.989054272565,"Bridge hypothesis: top 1% betweenness; links 5 payers and 26 recipients. Priority drivers: high case-money inflow (64K KZT), coordinator role signals."
3,100000004015047100,consolidator,0.988390895145,"Signs of consolidation: receives from 9 payers (4 seeds within 2 hops), 919K KZT in, forwards 8%. Priority drivers: high case-money inflow (585K KZT), 4 seeds within 2 hops."
4,100000004403675100,coordinator,0.987510998705,"Bridge hypothesis: top 1% betweenness; links 4 payers and 5 recipients. Priority drivers: high case-money inflow (94K KZT), coordinator role signals."
5,100000008165763100,consolidator,0.986317840706,"Signs of consolidation: receives from 15 payers (3 seeds within 2 hops), 1.2M KZT in, forwards 109%. Priority drivers: high case-money inflow (189K KZT), 3 seeds within 2 hops."
6,100000002838861100,consolidator,0.972439892938,"Signs of consolidation: receives from 5 payers (2 seeds within 2 hops), 555K KZT in, forwards 2%. Priority drivers: high case-money inflow (403K KZT), 2 seeds within 2 hops."
7,100000008477350100,coordinator,0.970304646867,"Bridge hypothesis: top 1% betweenness; links 11 payers and 39 recipients. Priority drivers: high case-money inflow (41K KZT), coordinator role signals."
8,100000000331309100,coordinator,0.96307199027,"Bridge hypothesis: top 1% betweenness; links 5 payers and 99 recipients. Priority drivers: high case-money inflow (27K KZT), coordinator role signals."
9,100000004299488100,consolidator,0.930322336931,"Signs of consolidation: receives from 6 payers (1 seeds within 2 hops), 1.7M KZT in, forwards 20%. Priority drivers: high case-money inflow (417K KZT), consolidator role signals."
10,100000008603629100,coordinator,0.921311460306,"Bridge hypothesis: top 1% betweenness; links 19 payers and 61 recipients. Priority drivers: high case-money inflow (33K KZT), coordinator role signals."
11,100000000437046100,coordinator,0.919238405867,"Bridge hypothesis: top 1% betweenness; links 9 payers and 42 recipients. Priority drivers: high case-money inflow (37K KZT), coordinator role signals."
12,100000002224132100,consolidator,0.91532724316,"Signs of consolidation: receives from 5 payers (1 seeds within 2 hops), 4.0M KZT in, forwards 307%. Priority drivers: high case-money inflow (181K KZT), consolidator role signals."
13,100000006518161100,transit,0.914857350821,"Pass-through hypothesis: forwards 100% of 594K KZT received; 71% forwarded within 2 days. Priority drivers: high case-money inflow (544K KZT), 2 seeds within 2 hops."
